name,chr,start,end
D13S317,13,81620034,81620315
CSF1PO,5,149436014,149436257
TH01,11,2148853,2149098
TPOX,2,1472375,1472488
D3S1358,3,45557209,45557339
D5S818,5,123139024,123139301
D7S820,7,83627317,83627654
D8S1179,8,125976245,125976586
D16S539,16,84943535,84943929
D18S51,18,59099658,59100344
D21S11,21,19476134,19476354
FGA,4,155728298,155728493
vWA,12,6093135,NA
D1S1656,1,230905361,NA
D2S441,2,68239078,NA
D2S1338,2,218879582,NA
D10S1248,10,131092506,NA
D12S391,12,12449954,NA
D19S433,19,30417140,NA
D22S1045,22,37536327,NA
